LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
c $1-2 million,"BJ'S ENTERPRISES, INC.",4411 PACIFIC HWY E,FIFE,WA,98424,452311,Corporation,,,,,200,6/25/2020,,
c $1-2 million,"BLACK BALL TRANSPORT, INC.",820 NE 45th Street Suite 3,SEATTLE,WA,98105,483212,Corporation,,,,,44,5/1/2020,,
c $1-2 million,"BLACK HILLS, INC.",1003 85th Ave SE,OLYMPIA,WA,98501,238220,Subchapter S Corporation,,,,,0,4/6/2020,,
c $1-2 million,BLACK REALTY MANAGEMENT INC.,801 W jRiverside Ste 300,SPOKANE,WA,99201,531311,Corporation,,,,,119,4/13/2020,,
c $1-2 million,"BLACKFLY INVESTMENTS, LLC",14401 SE 1st St.,VANCOUVER,WA,98684,541380,Limited  Liability Company(LLC),,,,,,4/15/2020,,
c $1-2 million,"BLACKPOINT IT SERVICES, INC.",20435 72nd Ave S,KENT,WA,98032,541512,Corporation,,,,,107,4/28/2020,,
c $1-2 million,BLADE CHEVROLET INC,1100 Freeway Dr.,MOUNT VERNON,WA,98273,441110,Subchapter S Corporation,,,,,0,4/8/2020,,
c $1-2 million,"BLEYHL FARM SERVICE, INC.","940 E Wine Country Rd, Suite A 0.0",GRANDVIEW,WA,98930,424710,Professional Association,,,,,134,4/30/2020,,
c $1-2 million,"BLRB ARCHITECTS, P.S.","1250 Pacific Avenue, Suite 700",TACOMA,WA,98402,541310,Corporation,,,,,63,6/25/2020,,
c $1-2 million,"BLUE STAR GROWERS, INC.",P.O.Box I,CASHMERE,WA,98815,115114,Corporation,,,,,180,4/13/2020,,
c $1-2 million,BMC GROUP INC.,600 1st Avenue,SEATTLE,WA,98104,541110,Subchapter S Corporation,,,,,44,4/30/2020,,
c $1-2 million,BNS ENTERPRISES INC,13424 NE 20th St 0.0,BELLEVUE,WA,98005,441110,Limited  Liability Company(LLC),,,,,75,4/9/2020,,
c $1-2 million,"BOTANICAL DESIGNS, LLC",660 S Dakota St,SEATTLE,WA,98108,561730,Limited  Liability Company(LLC),,,,,93,4/11/2020,,
c $1-2 million,"BOWEN SCARFF FORD SALES, INC.",1157 CENTRAL AVE N,KENT,WA,98032,441110,Subchapter S Corporation,,,,,,4/28/2020,,
c $1-2 million,BOYS AND GIRLS CLUB OF SNOHOMISH COUNTY,8223 BROADWAY,EVERETT,WA,98203,624110,Non-Profit Childcare Center,,,,,0,4/9/2020,,
c $1-2 million,BP AUTOMOTIVE GROUP I INC,15000 SE EASTGATE WAY,BELLEVUE,WA,98007,441110,Corporation,,,,,0,4/7/2020,,
c $1-2 million,"BRAG INVESTMENTS, INC",6718 S 216TH ST,KENT,WA,98032,523930,Corporation,,,,,,4/28/2020,,
c $1-2 million,BRAYCON LLC,3110 Judson St Suite 150,GIG HARBOR,WA,98335,238110,Limited  Liability Company(LLC),,,,,116,4/4/2020,,
c $1-2 million,BRINTON BUSINESS VENTURES INC,13800 TUKWILA INTERNATIONAL BLVD,TUKWILA,WA,98168,445110,Corporation,,,,,149,5/3/2020,,
c $1-2 million,BRIVITY INC.,2211 Rimland Drive,BELLINGHAM,WA,98226,531210,Corporation,,,,,73,5/3/2020,,
c $1-2 million,BROADMOOR RV SUPERSTORE INC,9145 Saint Thomas Dr,PASCO,WA,99301,,Corporation,,,,,86,5/3/2020,,
c $1-2 million,BROTHERS PIPELINE CORP,954 JACKSON HWY S,TOLEDO,WA,98591,237120,Partnership,,,,,25,4/29/2020,,
c $1-2 million,BROUGHTON DUNN PLLC,8012 112TH STREET CT E #320,PUYALLUP,WA,98373,621210,Limited  Liability Company(LLC),,,,,0,4/28/2020,,
c $1-2 million,BRUCE MECHANICAL INC,5115 W BRINKLEY RD Ste C,KENNEWICK,WA,99338,238220,Subchapter S Corporation,,,,,0,4/6/2020,,
c $1-2 million,"BRUCE TITUS AUTOMOTIVE GROUP, INC.",6221 Tacoma Mall Blvd,TACOMA,WA,98409,441110,Subchapter S Corporation,,,,,0,4/28/2020,,
c $1-2 million,"BRULOTTE FARMS, INC.",7502 CAMPBELL RD,TOPPENISH,WA,98948,111998,Corporation,,,,,0,4/8/2020,,
c $1-2 million,BSQUARE CORPORATION,"110 110th Ave NE, Suite 300 0.0",BELLEVUE,WA,98004,541511,Corporation,,,,,42,4/9/2020,,
c $1-2 million,BUD CLARY CHEVROLET INC,1030 COMMERCE AVE,LONGVIEW,WA,98632,441110,Corporation,,,,,,5/3/2020,,
c $1-2 million,"BUD CLARY OF AUBURN, LLC",2925 Auburn Way North,AUBURN,WA,98002,441110,Subchapter S Corporation,,,,,75,4/13/2020,,
c $1-2 million,"BUILDERS' HARDWARE AND SUPPLY CO., INC.",1516 15TH AVE W,SEATTLE,WA,98119,444130,Corporation,,,,,105,4/10/2020,,
c $1-2 million,BURKE ELECTRIC LLC,13563 SE 27th Pl,BELLEVUE,WA,98005,238210,Limited  Liability Company(LLC),,,,,0,4/9/2020,,
c $1-2 million,BUSH ROED & HITCHINGS INC,2009 MINOR AVE E,SEATTLE,WA,98102,541360,Corporation,,,,,57,4/15/2020,,
c $1-2 million,"BUSINESS DEVELOPMENT RESOURCES, INC.",19604 International Blvd,SEATTLE,WA,98188,541611,Corporation,,,,,56,4/10/2020,,
c $1-2 million,"C & C LOGGING, LLC",2207 Talley Way,KEL,WA,98626,113310,Limited  Liability Company(LLC),,,,,90,4/15/2020,,
c $1-2 million,C&R TRACTOR AND LANDSCAPING INC.,3829 PLEASANT HILL RD,KELSO,WA,98626,237990,Corporation,,,,,120,4/27/2020,,
c $1-2 million,C2S TECHNOLOGIES INC,1837 156th Ave NE Suite A303,BELLEVUE,WA,98007,541511,Corporation,,,,,0,4/28/2020,,
c $1-2 million,CAFES INCORPORATED,"22010 17th Ave SE, Suite A",BOTHELL,WA,98021,722511,Corporation,,,,,210,4/16/2020,,
c $1-2 million,CAIRNCROSS & HEMPELMANN PS,524 2ND AVE SUITE 500,SEATTLE,WA,98104,541110,Partnership,,,,,0,4/7/2020,,
c $1-2 million,"CAMERON - REILLY, L. L. C.",309 N Park Road,SPOKANE VALLEY,WA,99212,237310,Limited  Liability Company(LLC),,,,,0,4/7/2020,,
c $1-2 million,"CAMPBELL'S LODGE, INC.",104 West Woodin Ave.,CHELAN,WA,98816,721110,Corporation,,,,,181,4/4/2020,,
c $1-2 million,CAMPUSPOINT CORPORATION,2401 4TH AVE STE 830,SEATTLE,WA,98121,561320,Corporation,,,,,181,5/3/2020,,
c $1-2 million,CANLIS INC,2576 Aurora Ave N,SEATTLE,WA,98109,722511,Corporation,,,,,110,4/10/2020,,
c $1-2 million,CAP FOOD SERVICES COMPANY DBA WEST SEATTLE THRIFTWAY,4201 SW MORGAN ST,SEATTLE,WA,98136,,Corporation,,,,,135,5/1/2020,,
c $1-2 million,"CAPITAL HEATING & COOLING, INC",1218 Carpenter Rd SE,LACEY,WA,98503,238220,Corporation,,,,,68,4/14/2020,,
c $1-2 million,CAPITAL INDUSTRIES INC.,5801 3rd Ave S,SEATTLE,WA,98108,332119,Subchapter S Corporation,,,,,82,4/15/2020,,
c $1-2 million,"CAPITOL ENTERPRISES, INC.",2370 Carriage Loop SW,OLYMPIA,WA,98502,441110,Subchapter S Corporation,,,,,90,4/10/2020,,
c $1-2 million,"CAPSTONE SOLUTIONS, INC.",8195 166th Ave NE. Suite #100,REDMOND,WA,98052,237130,Subchapter S Corporation,,,,,102,4/28/2020,,
c $1-2 million,"CAR PROS AUTOMOTIVE GROUP, INC.",7230 S TACOMA WAY,TACOMA,WA,98409,441110,Subchapter S Corporation,,,,,101,4/10/2020,,
c $1-2 million,CAREER PATH SERVICES,10 N POST ST,SPOKANE,WA,99201,624310,Non-Profit Organization,,,,,0,4/9/2020,,
c $1-2 million,CARMONA CONSTRUCTION LLC,9323 STATE AVE,MARYSVILLE,WA,98270,238110,Limited  Liability Company(LLC),,,,,0,4/9/2020,,
c $1-2 million,"CARNEY BADLEY SPELLMAN, P.S.",701 5th Avenue,SEATTLE,WA,98104,541110,Corporation,,,,,85,4/27/2020,,
c $1-2 million,CARPENTER RANCHES LLC,400 CARPENTER RD,GRANGER,WA,98932,112111,Limited  Liability Company(LLC),,,,,121,4/15/2020,,
c $1-2 million,CARPINITO BROTHERS INC,1148 CENTRAL AVE N,KENT,WA,98032,424930,Corporation,,,,,,5/3/2020,,
c $1-2 million,"CASAL ENTERPRISES, INC.",22472 SE 300TH ST,BLACK DIAMOND,WA,98010,722513,Subchapter S Corporation,,,,,,4/15/2020,,
c $1-2 million,CASCADE CHEVROLET COMPANY,148 EASY ST,WENATCHEE,WA,98801,441110,Corporation,,,,,0,4/28/2020,,
c $1-2 million,CASCADE CHRISTIAN SCHOOLS,815 21 St SE,PUYALLUP,WA,98372,611110,Non-Profit Organization,,,,,235,4/30/2020,,
c $1-2 million,"CASCADE CHRYSLER, INC.",PO Box 570,BURLINGTON,WA,98233,441110,Subchapter S Corporation,,,,,117,4/10/2020,,
c $1-2 million,CASCADE COFFEE INC,1525 75TH ST,EVERETT,WA,98203,311920,Corporation,,,,,102,4/7/2020,,
c $1-2 million,CASCADE COMMUNITY HEALTH CARE,2428 REYNOLDS AVE,CENTRALIA,WA,98531,623220,Non-Profit Organization,,,,,137,4/10/2020,,
c $1-2 million,CASCADE CONNECTIONS,1354 PACIFIC PL STE 101,FERNDALE,WA,98248,623210,Non-Profit Organization,,,,,261,4/27/2020,,
c $1-2 million,"CASCADE ELECTRICAL, LLC",2319 SE GRACE AVE,BATTLE GROUND,WA,98604,238210,Limited  Liability Company(LLC),,,,,,4/28/2020,,
c $1-2 million,"CASCADE ENGINEERING SERVICES, INC.",6640 185TH AVE NE,REDMOND,WA,98052,541330,Subchapter S Corporation,,,,,72,5/4/2020,,
c $1-2 million,CASCADE PUBLIC MEDIA,401 Mercer St,SEATTLE,WA,98109,515120,Non-Profit Organization,,,,,106,4/14/2020,,
c $1-2 million,CASCADE SECURITY CORPORATION,13417 NE 20th Street,BELLEVUE,WA,98005,561612,Corporation,,,,,0,4/27/2020,,
c $1-2 million,"CASCADE SURGERY ASSOCIATES, PLLC",122 3rd St NE,AUBURN,WA,98002,621111,Limited  Liability Company(LLC),,,,,64,4/15/2020,,
c $1-2 million,CASCADIA CAPITAL LLC,1000 2nd Avenue #1200,SEATTLE,WA,98104,523930,Limited  Liability Company(LLC),,,,,52,4/8/2020,,
c $1-2 million,CASILO CONSULTING LLC,23622 NE 170TH ST,WOODINVILLE,WA,98077,541618,Limited  Liability Company(LLC),,,,,96,5/3/2020,,
c $1-2 million,"CASNE ENGINEERING, INC.",3545 Factoria Blvd SE Suite 200,BELLEVUE,WA,98006,541330,Corporation,,,,,84,4/15/2020,,
c $1-2 million,CATALYSIS LLC,1601 E John St,SEATTLE,WA,98112,541613,Limited  Liability Company(LLC),,,,,,4/28/2020,,
c $1-2 million,"CAZIER ENTERPRISES, INC.",2798 KATIE RD,KENNEWICK,WA,99338,722513,Corporation,,,,,352,4/13/2020,,
c $1-2 million,"CBPI, LLC",1003 7th Ave,KIRKLAND,WA,98033,624190,Subchapter S Corporation,,,,,150,5/22/2020,,
c $1-2 million,CC EDWARDS CONSTRUCTION INC,2415 INTER AVE BLDG A,PUYALLUP,WA,98372,236115,Corporation,,,,,91,5/3/2020,,
c $1-2 million,CCC & TB LLC,3927 3 TRENT AVE,SPOKANE,WA,99202,441120,Limited  Liability Company(LLC),,,,,0,4/7/2020,,
c $1-2 million,CDK CONSTRUCTION SERVICES INC.,26231 NE 165th Street,DUVALL,WA,98019,236220,Corporation,,,,,0,4/9/2020,,
c $1-2 million,CDM SERVICES,2300 NE ANDRESEN RD,VANCOUVER,WA,98661,624120,Non-Profit Organization,,,,,160,4/8/2020,,
c $1-2 million,"CEDAR GROVE COMPOSTING, INC.",7343 E Marginal Way S,SEATTLE,WA,98108,562219,Subchapter S Corporation,,,,,126,4/13/2020,,
c $1-2 million,CEDAR PARK ASSEMBLY OF GOD OF KIRKLAND WASHINGTON,16300 112th Ave NE,BOTHELL,WA,98011,813110,Corporation,,,,,268,4/28/2020,,
c $1-2 million,CEDARBROOK LODGE LLC,18525 36th Ave S,SEATTLE,WA,98188,721110,Limited  Liability Company(LLC),,,,,137,4/10/2020,,
c $1-2 million,CENTER ART LLC,223 TAYLOR AVE N,SEATTLE,WA,98109,712110,Limited  Liability Company(LLC),,,,,116,4/8/2020,,
c $1-2 million,CENTER FOR COMMUNITY SERVICE,1301 5th ave,SEATTLE,WA,98101,813910,Non-Profit Organization,,,,,101,4/13/2020,,
c $1-2 million,CENTER FOR HUMAN SERVICES,17018 15TH AVE NE,SHORELINE,WA,98155,624190,Non-Profit Organization,,,,,0,4/9/2020,,
c $1-2 million,CHALLAIN INC,200 MARKET ST NE,OLYMPIA,WA,98501,311920,Corporation,,,,,0,4/8/2020,,
c $1-2 million,CHAMBERLIN DISTRIBUTING COMPANY INC.,590 N CHAMBERLIN WAY,EAST WENATCHEE,WA,98802,424910,Corporation,,,,,82,4/15/2020,,
c $1-2 million,CHARITY USA.COM LLC,"One Union Square 600 University St, Suite 1000",SEATTLE,WA,98101,541511,Limited  Liability Company(LLC),,,,,135,4/14/2020,,
c $1-2 million,"CHEEMA FREIGHTSLINES, LLC",2720 E Vally Hwy E,SUMNER,WA,98390,488510,Limited  Liability Company(LLC),,,,,200,4/13/2020,,
c $1-2 million,CHELAN DOUGLAS CHILD SERVICES ASSOCIATION,1305 KITTITAS ST,WENATCHEE,WA,98801,624410,Non-Profit Childcare Center,,,,,,4/14/2020,,
c $1-2 million,"CHEVROLET BUICK GMC OF PUYALLUP, INC.",800 River Rd,PUYALLUP,WA,98371,441110,Subchapter S Corporation,,,,,108,4/13/2020,,
c $1-2 million,CHEVROLET CADILLAC OF BELLEVUE INC,430 116TH AVE NE,BELLEVUE,WA,98004,441110,Corporation,,,,,98,5/3/2020,,
c $1-2 million,"CHG BUILDING SYSTEMS, INC.",1120 SW 16TH ST STE 4A,RENTON,WA,98057,238120,Subchapter S Corporation,,,,,55,4/28/2020,,
c $1-2 million,"CHIHULY, INC.",1111 NW 50th St,SEATTLE,WA,98107,711510,Corporation,,,,,41,4/12/2020,,
c $1-2 million,CHILDHAVEN,316 Broadway,SEATTLE,WA,98122,624410,Non-Profit Organization,,,,,162,4/28/2020,,
c $1-2 million,CHINOOK LUMBER INC,17606 STATE ROUTE 9 SE,SNOHOMISH,WA,98296,444190,Corporation,,,,,0,4/7/2020,,
c $1-2 million,CHRISTENSEN O'CONNOR JOHNSON KINDNESS PLLC,1201 3rd Ave Ste 3600,SEATTLE,WA,98101,541110,Limited  Liability Company(LLC),,,,,109,4/15/2020,,
c $1-2 million,CHRISTIAN HEALTH CARE CENTER,855 AARON DR,LYNDEN,WA,98264,623110,Corporation,,,,,231,5/14/2020,,
c $1-2 million,CHUCK'S PRODUCE & STREET MARKET #2 LLC,2302 NE 117th Street,VANCOUVER,WA,98686,445299,Limited  Liability Company(LLC),,,,,146,4/15/2020,,
c $1-2 million,CHURCHOME,9051 132ND AVE NE,KIRKLAND,WA,98033,813110,Non-Profit Organization,,,,,115,4/28/2020,,
c $1-2 million,"CITY SUDDATH RELOCATION SYSTEMS, LLC",1201 S  140TH ST Ste 100,BURIEN,WA,98168,488999,Limited  Liability Company(LLC),,,,,166,4/29/2020,,
c $1-2 million,CITY TRANSFER INC,11222 MARGINAL WAY E,TUKWILA,WA,98168,238910,Subchapter S Corporation,,,,,51,4/15/2020,,
c $1-2 million,"CJOK, INC.",12828 NE 124th St,KIRKLAND,WA,98083,441110,Subchapter S Corporation,,,,,0,4/27/2020,,
c $1-2 million,CLARK CONSTRUCTION LLC,355 Ericksen Ave NE,BAINBRIDGE ISLAND,WA,98110,236220,Limited  Liability Company(LLC),,,,,0,4/6/2020,,
c $1-2 million,"CLASSIC ACCESSORIES, LLC",26600 72nd Avenue S,KENT,WA,98032,423910,Limited  Liability Company(LLC),,,,,60,4/7/2020,,
c $1-2 million,CLEAN CRAWL LLC,3707 124th St NE A-1,MARYVILLE,WA,98271,561790,Limited  Liability Company(LLC),,,,,105,4/10/2020,,
c $1-2 million,CLEARWATER SUMMIT GROUP INC,PO BOX 6470,SPOKANE,WA,99217,561730,Corporation,,,,,0,4/7/2020,,
c $1-2 million,"CLIPPER NAVIGATION, INC",2701 Alaskan Way Pier 69,SEATTLE,WA,98121,487210,Corporation,,,,,100,4/10/2020,,
c $1-2 million,CLISE AGENCY INC,1700 7th Ave Ste 1800,SEATTLE,WA,98101,531120,Corporation,,,,,53,4/30/2020,,
c $1-2 million,CLOUDONE LLC,2105 C Street,VANCOUVER,WA,98663,541690,Limited  Liability Company(LLC),,,,,104,4/13/2020,,
c $1-2 million,CLUB MONACO GAMING LLC,111 S 3rd St,RENTON,WA,98057,722511,Limited  Liability Company(LLC),,,,,0,4/29/2020,,
c $1-2 million,CMH PARTNERS LLC,973 Nakata Ave NW,BAINBRIDGE ISLAND,WA,98110,812199,Limited  Liability Company(LLC),,,,,160,4/10/2020,,
c $1-2 million,"CMI ORCHARDS, LLC",2525 Euclid Avenue,WENATCHEE,WA,98801,424480,Limited  Liability Company(LLC),,,,,60,6/18/2020,,
c $1-2 million,COASTAL COMMUNITY ACTION PROGRAM,101 E MARKET ST,ABERDEEN,WA,98520,813319,Non-Profit Organization,,,,,210,4/30/2020,,
c $1-2 million,COASTAL STEEL INCORPORATED,5108 180TH ST E,TACOMA,WA,98446,238120,Corporation,,,,,30,4/11/2020,,
c $1-2 million,COASTAL TRANSPORTATION INC,4025 13th Ave W,SEATTLE,WA,98119,483113,Corporation,,,,,112,5/16/2020,,
c $1-2 million,"COBALT ENTERPRISES, L.L.C.",3316 Old Hartford Road,LAKE STEVENS,WA,98258,332710,Limited  Liability Company(LLC),,,,,105,4/5/2020,,
c $1-2 million,"COCA-COLA BOTTLING CO., YAKIMA TRICITIES, INC.",P.O. Box 1726,YAKIMA,WA,98907,312111,Corporation,,,,,146,4/14/2020,,
c $1-2 million,COCHRANE AGENCY INC,1405 S Rustle St,SPOKANE,WA,99224,621111,Subchapter S Corporation,,,,,0,4/7/2020,,
c $1-2 million,"COCHRANE, GRIFFIN & COMPANY, INC.",2375 130TH AVE NE Suite 200,BELLEVUE,WA,98005,524210,Subchapter S Corporation,,,,,0,4/8/2020,,
c $1-2 million,CODE.ORG,1501 4th Ave Ste 900,SEATTLE,WA,98101,813319,Non-Profit Organization,,,,,81,4/15/2020,,
c $1-2 million,CODINGDOJO INC,1715 114th Ave SE #100,BELLEVUE,WA,98004,611519,Corporation,,,,,57,4/9/2020,,
c $1-2 million,COLDSTREAM HOLDINGS INC,1-100th Ave NE Suite 102,BELLEVUE,WA,98004,523930,Cooperative,,,,,73,4/12/2020,,
c $1-2 million,"COLE INDUSTRIAL, INC.",5924 203rd St SW,LYNNWOOD,WA,98036,423830,Subchapter S Corporation,,,,,60,4/11/2020,,
c $1-2 million,COLEHOUR & COHEN INC,"1011 Western Ave, Suite 702",SEATTLE,WA,98104,541810,Corporation,,,,,0,4/7/2020,,
c $1-2 million,COLLEGE SUCCESS FOUNDATION,15500 SE 30th Place; Suite 200,BELLEVUE,WA,98007,813219,Non-Profit Organization,,,,,120,4/15/2020,,
c $1-2 million,COLLINEAR GROUP LLC,707 S Grady Way STE 525,RENTON,WA,98057,541330,Limited  Liability Company(LLC),,,,,,4/28/2020,,
c $1-2 million,COLLINS WOERMAN COMPANY,710 2ND AVE STE 1400,SEATTLE,WA,98104,541310,Corporation,,,,,76,5/3/2020,,
c $1-2 million,"COLMAC COIL MANUFACTURING, INC.",370 N Lincoln,COLVILLE,WA,99114,333415,Corporation,,,,,134,4/13/2020,,
c $1-2 million,COLUMBIA ATHLETIC CLUBS LLC,11400  98TH AVE Suite 300,KIRKLAND,WA,98033,713940,Limited  Liability Company(LLC),,,,,331,4/10/2020,,
c $1-2 million,"COLUMBIA CEDAR, INC.",24419 Highway 395 N,KETTLE FALLS,WA,99141,321113,Subchapter S Corporation,,,,,165,4/28/2020,,
c $1-2 million,"COLUMBIA ENERGY AND ENVIRONMENTAL SERVICES, INC.",1806 Terminal Dr.,RICHLAND,WA,99352,541990,Corporation,,,,,82,4/3/2020,,
c $1-2 million,COLUMBIA FIRE INC,111 S FINDLAY ST,SEATTLE,WA,98108,238220,Subchapter S Corporation,,,,,61,4/14/2020,,
c $1-2 million,COLUMBIA FRUIT HOLDING ENTERPRISES LLC,2526 Dike Rd,WOODLAND,WA,98674,311411,Limited  Liability Company(LLC),,,,,250,4/28/2020,,
c $1-2 million,COLUMBIA INDUSTRIES,900 S Dayton,KENNEWICK,WA,99336,624310,Corporation,,,,,,4/15/2020,,
c $1-2 million,COLUMBIA LUTHERAN MINISTRIES,4700 Phinney Ave N,SEATTLE,WA,98103,623110,Non-Profit Organization,,,,,160,4/13/2020,,
c $1-2 million,"COLUMBIA PACIFIC CONSTRUCTION, INC.",175 Hansen Lane,WOODLAND,WA,98674,236116,Subchapter S Corporation,,,,,61,4/28/2020,,
c $1-2 million,COLUMBIA RIVER CARBONATES,300 N Pekin Rd,WOODLAND,WA,98674,325180,Partnership,,,,,72,5/3/2020,,
c $1-2 million,"COLUMBIA VALLEY FRUIT, L.L.C.",1720 W Ahtanum Road,UNION GAP,WA,98903,484110,Limited  Liability Company(LLC),,,,,,4/15/2020,,
c $1-2 million,COLVICO INC,PO BOX 2682,SPOKANE,WA,99220,238210,Corporation,,,,,0,4/7/2020,,
c $1-2 million,COMMERCIAL CREAMERY CO,159 S CEDAR ST,SPOKANE,WA,99201,311514,Subchapter S Corporation,,,,,0,4/28/2020,,
c $1-2 million,COMMUNITY FOOD COOPERATIVE,405 East Holly St Suite #101,BELLINGHAM,WA,98225,445110,Cooperative,,,,,251,4/7/2020,,
c $1-2 million,"COMMUNITY STAFFING SOLUTIONS, INC.",1900 W. Nickerson St #116-42,SEATTLE,WA,98119,561320,Subchapter S Corporation,,,,,,4/13/2020,,
c $1-2 million,COMMUNITY YOUTH SERVICES,711 STATE AVE NE 3rd Floor,OLYMPIA,WA,98506,624110,Non-Profit Organization,,,,,0,4/15/2020,,
c $1-2 million,COMPASS HOUSING ALLIANCE,"77 S Washington Street, Suite 500",SEATTLE,WA,98104,624229,Non-Profit Organization,,,,,160,4/10/2020,,
c $1-2 million,"COMPENDIUM, INC.","2815 Eastlake Ave E, Ste 200",SEATTLE,WA,98102,511191,Corporation,,,,,0,4/7/2020,,
c $1-2 million,"COMPUTER 5, INC.",341 Grant Rd.,EAST WENATCHEE,WA,98802,541990,Corporation,,,,,163,4/11/2020,,
c $1-2 million,COMWELL CO.,15210 TUKWILA INTERNATIONAL BLVD,SEATTLE,WA,98188,722513,Subchapter S Corporation,,,,,,4/15/2020,,
c $1-2 million,"CONIFER SPECIALTIES, INC",15500 Woodinville-Redmond Rd NE C-400,WOODINVILLE,WA,98072,311999,Subchapter S Corporation,,,,,200,4/9/2020,,
c $1-2 million,CONNELL OIL INCORPORATED,1015 North Oregon Avenue,PASCO,WA,99301,424720,Corporation,,,,,121,4/9/2020,,
c $1-2 million,CONRAD & ADAMS FRUIT LLC,601 W WINE COUNTY RD,GRANDVIEW,WA,98930,111339,Limited  Liability Company(LLC),,,,,136,4/28/2020,,
c $1-2 million,CONSEJO COUNSELING AND REFERRAL SERVICE,3808 S ANGELINE ST,SEATTLE,WA,98118,624190,Corporation,,,,,118,5/1/2020,,
c $1-2 million,CONSTRUCTION GROUP INTL LLC,19407 144th Ave NE Bldg D,WOODINVILLE,WA,98072,238990,Limited  Liability Company(LLC),,,,,70,6/22/2020,,
c $1-2 million,CONTINUANT TECH INC.,5050 20th Street E,TACOMA,WA,98424,541512,Subchapter S Corporation,,,,,,4/13/2020,,
c $1-2 million,"CONTROLTEK, INC.",3905 NE 112th Ave,VANCOUVER,WA,98682,334416,Subchapter S Corporation,,,,,115,4/15/2020,,
c $1-2 million,"COPACINO + FUJIKADO, LLC",1425 4th Avenue,SEATTLE,WA,98101,541810,Limited  Liability Company(LLC),,,,,43,4/11/2020,,
c $1-2 million,"COPPEI CREEK, INC",2853 SE 27TH ST,MERCER ISLAND,WA,98040,541511,Corporation,,,,,0,4/6/2020,,
c $1-2 million,"CORE DESIGN, INC.","12100 NE 195th St, Ste 300",BOTHELL,WA,98011,541330,Subchapter S Corporation,,,,,60,4/14/2020,,
c $1-2 million,"CORNERSTONE ADVISORS, INC.","225 108th Ave NE, Suite 400",BELLEVUE,WA,98004,523920,Subchapter S Corporation,,,,,65,4/15/2020,,
c $1-2 million,CORONA STUD & DECK,3015 106TH ST,LAKEWOOD,WA,98499,238120,Limited  Liability Company(LLC),,,,,30,4/10/2020,,
c $1-2 million,"CORPORATE MOVING SYSTEMS, INC.",21620 88th Pl S,KENT,WA,98031,484210,Corporation,,,,,0,4/13/2020,,
c $1-2 million,CORWIN OF PASCO LLC,1225 N AUTOPLEX WAY,PASCO,WA,99301,441120,Limited  Liability Company(LLC),,,,,138,4/8/2020,,
c $1-2 million,COVALON TECHNOLOGIES AG LTD,12620 Interurban Ave Suite 130,TUKWILA,WA,98168,332994,Corporation,,,,,59,4/28/2020,,
c $1-2 million,"COW PALACE, LLC",920 Naches Height Rd,YAKIMA,WA,98908,112111,Limited  Liability Company(LLC),,,,,,4/30/2020,,
c $1-2 million,"COWDEN, INC.",3463 Cedarville Rd,BELLINGHAM,WA,98226,327310,Corporation,,,,,117,4/13/2020,,
c $1-2 million,"COWICHE GROWERS, INC.",PO Box 36,COWICHE,WA,98923,111331,Corporation,,,,,234,4/14/2020,,
c $1-2 million,"CPRS, INC",2300 130th Avenue NE #A-200,CLYDE HILL,WA,98004,541219,Subchapter S Corporation,,,,,62,4/28/2020,,
c $1-2 million,CRAB POT RESTAURANTS INC.,1301 ALASKAN WAY,SEATTLE,WA,98101,722511,Corporation,,,,,165,4/9/2020,,
c $1-2 million,CREDIT CARD DISCOUNT SERVICES INC,19101 36TH AVE W STE 103,LYNNWOOD,WA,98036,522320,Corporation,,,,,120,4/28/2020,,
c $1-2 million,CROWN DISTRIBUTING LLC,17117 59th Ave NE,ARLINGTON,WA,98223,424810,Limited  Liability Company(LLC),,,,,112,5/13/2020,,
c $1-2 million,CTS LANGUAGELINK,701 NE 136TH ST SUITE 200,VANCOUVER,WA,98684,541930,Corporation,,,,,,5/3/2020,,
c $1-2 million,CUB CRAFTERS GROUP LLC,1918 S 16th Ave,YAKIMA,WA,98903,336411,Limited  Liability Company(LLC),,,,,160,4/14/2020,,
c $1-2 million,CURTIS MABERRY FARM INC,697 LOOMIS TRAIL RD,LYNDEN,WA,98264,111334,Corporation,,,,,134,4/8/2020,,
c $1-2 million,D & L JONES INC.,18323 BOTHELL EVERETT HWY suite 375,BOTHELL,WA,98012,722511,Corporation,,,,,0,4/6/2020,,
c $1-2 million,D&L HOLDCO,12970 ROAD  NE,MOSES LAKE,WA,98837,331511,Corporation,,,,,171,5/27/2020,,
c $1-2 million,"D&S ELECTRICAL CONTRACTORS, INC.",915 PORT WAY,CLARKSTON,WA,99403,238210,Subchapter S Corporation,,,,,,4/12/2020,,
c $1-2 million,"D.L. HENRICKSEN COMPANY, INC.",6005 20th Street East,FIFE,WA,98424,238130,Corporation,,,,,125,4/28/2020,,
c $1-2 million,D.O.C.N.S. LLC,13733 AURORA AVENUE N,SEATTLE,WA,98133,441110,Limited  Liability Company(LLC),,,,,105,4/13/2020,,
c $1-2 million,DAHLIA LOUNGE,2001 Fourth Ave,SEATTLE,WA,98121,722511,Corporation,,,,,126,4/27/2020,,
